aX,aY,aZ,gX,gY,gZ
0.254,-1.214,-0.126,59.937,-16.418,37.415

0.513,-2.674,-0.076,53.101,16.724,44.250
0.562,-2.726,-0.149,40.710,10.254,22.156
0.549,-2.849,-0.067,36.621,18.921,2.014
0.555,-2.869,-0.038,18.921,30.457,-16.113
0.550,-2.856,0.059,-7.202,30.884,-34.485
0.571,-2.801,0.155,-30.396,27.466,-50.415
0.559,-2.719,0.209,-54.260,19.958,-66.223
0.520,-2.571,0.224,-73.547,8.118,-83.496
0.468,-2.360,0.206,-78.613,-1.160,-98.450
0.408,-2.152,0.200,-70.984,-4.883,-107.849
0.363,-1.995,0.201,-57.983,-4.578,-112.000
0.365,-1.812,0.188,-46.082,-2.563,-112.915
0.348,-1.664,0.159,-36.743,-0.122,-109.375
0.320,-1.538,0.126,-28.564,2.808,-103.149
0.282,-1.413,0.076,-21.423,5.066,-97.778
0.236,-1.297,0.017,-15.442,5.981,-92.163
0.179,-1.210,-0.040,-11.658,5.798,-85.449
0.119,-1.098,-0.109,-9.399,4.456,-77.881
0.083,-1.012,-0.144,-8.972,0.366,-72.510
0.114,-0.950,-0.171,-11.536,-2.319,-68.298
0.170,-0.808,-0.190,-15.686,0.549,-61.279
0.164,-0.743,-0.152,-16.968,4.578,-52.734
0.116,-0.672,-0.125,-21.851,6.897,-44.556
0.033,-0.572,-0.112,-32.349,4.272,-39.063
-0.051,-0.472,-0.074,-45.227,-1.282,-37.048
-0.073,-0.392,0.006,-58.228,-6.653,-37.231
-0.056,-0.312,0.085,-68.970,-13.672,-38.208
-0.021,-0.275,0.141,-71.472,-25.024,-37.964
0.060,-0.219,0.146,-67.566,-37.170,-35.339
0.126,-0.150,0.085,-57.007,-48.096,-33.264
0.100,-0.145,0.017,-38.330,-58.105,-34.424
0.050,-0.135,-0.040,-22.095,-63.965,-37.109
0.044,-0.122,-0.082,-12.329,-67.871,-41.626
0.061,-0.149,-0.125,-9.277,-69.214,-43.701
0.074,-0.191,-0.175,-12.939,-68.237,-40.649
0.094,-0.237,-0.203,-18.494,-64.636,-36.560
0.118,-0.262,-0.208,-23.254,-56.824,-33.630
0.129,-0.272,-0.168,-24.353,-45.837,-31.616
0.116,-0.273,-0.090,-18.188,-31.860,-30.701
0.106,-0.282,-0.019,-4.517,-17.517,-31.921
0.078,-0.271,-0.004,11.414,-8.423,-36.438
0.028,-0.270,-0.033,24.231,-5.676,-42.236
0.004,-0.284,-0.096,31.311,-6.409,-46.143
-0.008,-0.288,-0.140,29.785,-6.897,-48.218
-0.052,-0.287,-0.137,20.020,-3.845,-49.133
-0.123,-0.264,-0.098,7.141,3.723,-48.828
-0.178,-0.253,-0.052,-1.587,11.780,-49.133
-0.236,-0.238,-0.021,-3.052,18.738,-50.232
-0.305,-0.208,-0.009,-2.197,24.048,-50.293
-0.363,-0.179,-0.009,-0.916,28.198,-48.889
-0.405,-0.164,0.006,3.540,31.372,-46.204
-0.441,-0.139,0.039,8.606,32.471,-42.725
-0.472,-0.126,0.077,7.324,31.433,-37.109
-0.501,-0.135,0.105,-1.160,28.809,-29.846
-0.509,-0.154,0.142,-11.230,26.367,-23.682
-0.510,-0.164,0.174,-20.996,22.278,-19.287
-0.514,-0.149,0.187,-27.588,16.907,-16.418
-0.507,-0.129,0.185,-29.541,11.047,-13.611
-0.488,-0.105,0.181,-27.771,6.714,-9.949
-0.455,-0.081,0.151,-22.400,6.042,-6.348
-0.415,-0.052,0.117,-14.771,7.751,-2.258
-0.387,-0.058,0.070,-8.118,11.047,3.479
-0.346,-0.081,0.028,-4.517,16.052,9.460
-0.302,-0.108,-0.007,-3.174,20.935,15.198
-0.307,-0.141,0.003,-5.554,26.306,20.691
-0.382,-0.179,0.050,-15.930,32.410,25.879
-0.429,-0.167,0.110,-32.288,37.781,31.372
-0.412,-0.161,0.222,-45.776,41.260,37.170
-0.362,-0.164,0.326,-50.842,40.588,42.969
-0.304,-0.175,0.396,-47.119,34.119,47.424
-0.265,-0.206,0.406,-39.063,23.499,49.377
-0.259,-0.250,0.380,-34.912,10.864,52.002
-0.224,-0.295,0.307,-36.438,-0.244,56.641
-0.173,-0.345,0.234,-44.373,-12.451,60.852
-0.159,-0.399,0.168,-58.960,-23.254,63.965
-0.145,-0.436,0.158,-72.815,-24.841,64.880
-0.151,-0.453,0.169,-77.454,-18.372,62.378
-0.190,-0.432,0.199,-68.481,-7.080,58.289
-0.210,-0.392,0.228,-48.950,6.775,58.044
-0.186,-0.394,0.277,-31.006,17.456,65.613
-0.162,-0.489,0.324,-22.644,21.240,77.026
-0.117,-0.592,0.365,-24.841,20.264,86.487
-0.026,-0.699,0.405,-35.889,12.939,89.050
0.035,-0.777,0.425,-49.194,2.747,83.923
0.064,-0.777,0.464,-47.241,-2.441,73.059
-0.045,-0.756,0.432,-24.109,0.732,62.500
-0.174,-0.717,0.355,15.930,9.460,55.725
-0.227,-0.717,0.253,57.251,17.761,51.819
-0.233,-0.741,0.198,85.022,25.696,51.025
-0.181,-0.828,0.191,97.839,34.973,56.030
-0.042,-0.945,0.254,95.398,38.086,64.026
0.070,-1.031,0.307,80.200,32.532,69.946
0.165,-1.075,0.330,63.965,21.973,71.167
0.248,-1.074,0.359,60.791,14.465,68.970
0.282,-1.042,0.308,80.933,13.733,63.782
0.126,-1.035,0.185,123.718,17.151,58.472
-0.001,-1.053,0.042,171.082,20.142,54.871
0.006,-1.132,-0.097,186.646,15.076,53.772
0.054,-1.285,-0.198,164.185,1.221,59.937
0.105,-1.472,-0.221,112.427,-13.977,71.228
0.149,-1.569,-0.179,43.579,-27.100,77.881
0.244,-1.608,-0.023,-13.855,-28.748,74.585
0.357,-1.574,0.139,-39.734,-16.235,64.331
0.391,-1.498,0.326,-28.992,1.038,56.519
0.352,-1.441,0.460,12.939,17.090,51.453
0.283,-1.395,0.376,70.435,30.457,47.241
0.238,-1.403,0.223,116.272,34.729,47.729
0.243,-1.392,0.081,133.667,28.564,54.749
0.307,-1.461,0.057,128.723,12.451,67.322
0.104,-1.380,-0.082,106.750,-5.615,81.543
0.349,-1.521,0.026,85.571,-21.729,75.134
0.514,-1.567,-0.050,62.805,-8.667,61.462
0.498,-1.633,0.047,42.358,13.489,63.782
0.439,-1.604,0.105,26.672,30.884,68.787
0.388,-1.554,0.192,18.127,25.391,64.941
0.320,-1.444,0.187,8.057,4.944,54.321
0.455,-1.393,0.168,1.709,-1.587,37.048
3.931,-4.000,-0.899,77.881,20.447,6.775
1.230,-4.000,1.434,354.553,-23.926,-22.095

-0.191,-0.383,-0.287,-406.189,17.944,-144.714
-0.373,0.198,-0.188,-202.942,35.339,-149.658
-0.401,0.094,0.112,134.460,37.903,-87.708
-0.359,-0.539,0.335,221.924,11.719,-23.193
-0.235,-1.244,0.035,170.837,-10.803,19.409
-0.072,-1.465,-0.310,93.506,-34.973,49.805
0.041,-1.315,-0.492,25.696,-56.030,51.819
0.095,-1.053,-0.493,-5.249,-49.622,28.625
0.167,-0.919,-0.437,-13.916,-16.113,9.399
0.157,-1.000,-0.271,-17.334,10.132,4.272
0.096,-0.991,-0.134,-29.297,9.399,9.583
0.148,-0.994,-0.101,-46.631,-0.122,12.451
0.158,-0.998,-0.096,-57.373,-4.028,16.357
0.142,-0.998,-0.089,-59.082,-1.526,20.813
0.140,-1.010,-0.032,-56.091,-0.122,21.545
0.184,-1.021,-0.006,-53.711,0.122,17.761
0.193,-1.019,0.048,-55.664,-4.272,13.672
0.194,-1.005,0.095,-57.007,-6.775,9.338
0.200,-0.998,0.132,-55.115,-5.493,6.409
0.205,-0.996,0.158,-49.194,-2.502,4.089
0.196,-0.998,0.183,-40.955,0.488,1.892
0.179,-0.986,0.200,-31.616,2.563,-0.671
0.172,-0.981,0.200,-22.583,3.052,-2.441
0.162,-0.979,0.190,-13.733,3.357,-3.296
0.154,-0.987,0.188,-4.700,4.272,-3.845
0.151,-0.985,0.159,3.784,4.028,-4.211
0.147,-0.993,0.134,11.414,3.967,-3.784
0.140,-1.001,0.101,17.822,5.432,-3.540
0.128,-1.006,0.079,21.912,6.470,-4.150
0.113,-1.008,0.056,23.560,6.531,-5.066
0.099,-1.013,0.032,23.682,6.104,-6.104
0.085,-1.006,0.026,22.644,5.310,-6.958
0.085,-0.990,0.021,21.851,4.272,-6.897
0.088,-0.992,0.020,20.630,2.686,-5.432
0.105,-1.003,0.010,18.433,-0.549,-4.150
0.117,-1.010,-0.009,15.747,-3.479,-3.296
0.129,-1.003,-0.020,12.451,-5.005,-3.296
0.136,-1.002,-0.031,9.033,-3.967,-3.601
0.125,-0.999,-0.025,6.409,-1.953,-2.808
0.114,-1.000,-0.004,4.456,-0.671,-2.014
0.120,-1.004,0.002,3.174,-0.427,-1.770
0.119,-1.005,0.008,2.258,-0.610,-1.465
0.114,-0.996,0.026,1.648,-1.038,-0.977
0.109,-1.000,0.036,1.892,-1.831,-0.854
0.129,-1.000,0.037,2.563,-2.625,-0.061
0.123,-0.998,0.035,3.479,-4.089,1.526
0.118,-0.991,0.046,3.601,-5.127,2.869
