aX,aY,aZ,gX,gY,gZ
-0.051,-1.039,0.079,-8.240,11.108,0.977
-0.043,-1.036,0.091,-7.141,10.193,-0.061

-1.249,-1.390,0.109,-30.090,24.902,1.099
-1.225,-1.423,0.180,-31.006,26.062,0.610
-1.192,-1.421,0.229,-29.663,25.635,-1.038
-1.175,-1.394,0.230,-19.287,24.292,-4.089
-1.192,-1.377,0.210,-2.014,22.034,-8.667
-1.207,-1.328,0.176,13.855,16.785,-15.564
-1.194,-1.277,0.144,24.963,8.789,-23.315
-1.151,-1.225,0.130,25.879,1.953,-29.358
-1.062,-1.145,0.124,10.864,-2.441,-33.813
-0.958,-0.971,0.097,-14.893,-3.967,-34.790
-0.837,-0.760,0.061,-39.734,-1.587,-29.541
-0.681,-0.564,-0.017,-56.274,7.080,-15.442
-0.452,-0.426,-0.081,-50.537,22.705,4.517
-0.165,-0.383,-0.077,-21.973,42.847,26.123
0.171,-0.332,-0.040,11.963,60.852,45.715
0.518,-0.383,0.058,36.316,69.946,65.491
0.801,-0.477,0.073,38.513,58.289,82.520
1.055,-0.596,0.039,25.146,34.668,92.957
1.290,-0.724,0.020,15.259,12.146,98.694
1.469,-0.834,0.027,13.855,-4.456,100.403
1.585,-0.893,0.038,19.958,-15.747,100.220
1.613,-0.977,-0.003,28.931,-25.330,101.563
1.600,-1.110,-0.083,30.457,-37.415,100.769
1.383,-1.221,-0.198,26.611,-48.584,92.102
1.245,-1.218,-0.299,24.353,-58.655,77.271
1.073,-1.248,-0.303,23.804,-36.804,66.040
0.903,-1.167,-0.392,22.766,-21.423,38.574
0.608,-1.016,-0.310,19.348,-2.686,31.982
0.579,-0.832,-0.271,10.742,15.564,16.663
0.475,-0.765,-0.004,0.366,17.395,9.949
0.374,-0.681,0.039,-18.921,19.592,6.775
0.389,-0.735,0.158,-36.621,11.963,1.648
0.445,-0.791,0.197,-43.152,-3.967,-3.479
0.383,-0.799,0.230,-39.246,-13.489,-2.319
0.323,-0.797,0.241,-24.780,-11.414,-3.479
0.280,-0.778,0.256,-5.615,-7.751,-5.188
0.250,-0.771,0.240,10.132,-6.287,-4.211
0.194,-0.779,0.214,16.541,-6.775,-0.366
0.154,-0.811,0.180,14.954,-7.812,2.441
0.121,-0.865,0.149,10.315,-8.606,3.662
0.064,-0.885,0.147,4.944,-8.118,5.432
0.062,-0.899,0.160,2.625,-5.920,7.751
0.074,-0.908,0.185,4.578,-4.333,10.864
0.084,-0.931,0.207,6.470,-4.395,15.198
0.156,-0.974,0.212,4.639,-7.141,18.188
0.184,-1.014,0.194,1.343,-12.817,19.470
0.232,-1.049,0.154,0.000,-15.259,20.020
0.259,-1.063,0.110,2.197,-15.198,16.785
0.311,-1.059,0.076,8.179,-13.184,12.512
0.320,-1.032,0.056,16.846,-8.911,9.766
0.279,-0.997,0.045,23.865,-4.883,8.606
0.279,-0.952,0.040,26.550,-2.686,6.470
0.283,-0.909,0.031,23.865,-3.296,8.240
0.309,-0.910,0.022,16.479,-5.310,11.597
0.348,-0.924,0.013,7.019,-9.460,13.184
0.412,-0.944,-0.014,-1.282,-14.709,13.977
0.496,-0.959,-0.038,-4.272,-18.860,14.648
0.570,-0.987,-0.060,1.343,-18.188,14.587
0.574,-1.021,-0.079,11.963,-11.169,11.230
0.508,-1.041,-0.068,24.048,0.732,1.038
0.465,-1.026,-0.055,32.776,14.221,-9.583
0.482,-1.000,-0.008,29.602,20.264,-16.174
0.534,-1.011,0.033,14.282,21.912,-17.639
0.589,-0.997,0.081,-4.761,20.386,-16.052
0.637,-0.971,0.105,-17.578,15.991,-16.724
0.654,-0.957,0.117,-18.982,11.230,-22.888
0.629,-0.909,0.137,-5.127,10.315,-30.701
0.528,-0.831,0.128,18.372,16.052,-36.499
0.298,-0.786,0.098,38.757,26.733,-40.283
0.126,-0.738,0.045,45.654,31.006,-41.443
0.063,-0.789,-0.000,36.377,24.719,-40.344
0.021,-0.881,-0.029,7.935,15.991,-37.598
0.073,-0.939,-0.034,-31.677,5.798,-36.255
0.158,-0.963,-0.012,-67.200,-3.296,-37.292
0.180,-0.969,0.020,-88.440,-4.639,-39.551
