aX,aY,aZ,gX,gY,gZ
0.154,-0.948,-0.013,21.973,5.310,-12.085

0.731,-1.534,-0.679,73.730,-125.122,-29.968
0.764,-1.629,-0.832,90.393,-116.516,-37.537
0.781,-1.751,-0.896,99.548,-101.013,-43.335
0.742,-1.821,-0.949,92.896,-86.182,-51.941
0.720,-1.821,-0.998,71.777,-78.674,-67.078
0.689,-1.774,-1.020,47.302,-78.369,-84.229
0.623,-1.712,-1.078,31.982,-80.566,-100.342
0.580,-1.642,-1.131,28.503,-83.008,-115.173
0.548,-1.573,-1.165,32.593,-84.534,-127.441
0.483,-1.486,-1.174,39.246,-75.989,-136.536
0.413,-1.350,-1.180,41.809,-62.805,-144.470
0.348,-1.212,-1.161,38.452,-52.246,-150.635
0.324,-1.161,-1.133,33.142,-42.358,-152.466
0.293,-1.131,-1.094,25.818,-32.410,-150.146
0.248,-1.066,-1.059,15.686,-23.804,-148.926
0.214,-1.009,-1.016,5.432,-18.188,-147.766
0.169,-0.958,-0.973,-4.761,-14.954,-144.287
0.132,-0.916,-0.967,-13.123,-14.404,-140.808
0.109,-0.906,-0.986,-17.578,-15.503,-137.939
0.099,-0.888,-1.019,-19.287,-14.038,-134.888
0.064,-0.835,-1.070,-20.386,-9.583,-134.277
0.036,-0.759,-1.142,-22.156,-4.211,-133.728
0.005,-0.678,-1.226,-24.231,3.601,-130.676
-0.038,-0.613,-1.298,-26.917,15.625,-126.221
-0.075,-0.576,-1.390,-28.748,28.625,-120.422
-0.081,-0.566,-1.479,-27.344,41.138,-113.892
-0.108,-0.559,-1.551,-23.621,53.772,-107.300
-0.122,-0.518,-1.606,-23.132,65.918,-101.807
-0.106,-0.458,-1.630,-29.602,78.186,-96.008
-0.083,-0.379,-1.613,-45.349,92.041,-88.867
-0.056,-0.273,-1.552,-69.031,108.643,-79.895
-0.029,-0.195,-1.464,-93.811,124.268,-70.129
0.004,-0.120,-1.345,-111.389,135.681,-60.791
0.034,-0.048,-1.231,-118.835,141.479,-53.223
0.061,-0.005,-1.138,-119.263,144.043,-47.119
0.100,0.030,-1.055,-115.601,145.874,-41.504
0.156,0.062,-0.961,-111.450,146.545,-36.011
0.177,0.112,-0.862,-113.220,147.705,-30.884
0.176,0.143,-0.785,-120.605,149.719,-27.466
0.180,0.154,-0.743,-128.723,152.344,-28.687
0.190,0.218,-0.674,-131.775,158.386,-31.616
0.242,0.295,-0.536,-125.916,166.809,-31.372
0.271,0.340,-0.395,-115.601,174.622,-24.780
0.270,0.338,-0.290,-105.835,179.504,-12.817
0.280,0.295,-0.188,-95.764,180.969,-2.197
0.298,0.272,-0.089,-87.036,179.260,5.432
0.313,0.201,0.009,-80.627,176.575,9.888
0.315,0.124,0.083,-77.820,175.049,12.024
0.319,0.092,0.173,-79.834,174.988,13.916
0.293,0.021,0.286,-87.891,178.589,16.052
0.265,-0.010,0.409,-100.037,186.584,16.663
0.263,-0.027,0.512,-102.661,193.359,13.428
0.287,0.024,0.602,-89.905,196.045,6.897
0.306,0.098,0.656,-63.782,195.129,2.258
0.310,0.127,0.709,-30.579,190.918,4.883
0.308,0.065,0.776,-0.244,182.617,15.137
0.336,-0.127,0.787,21.179,170.959,31.067
0.360,-0.331,0.765,24.841,160.645,44.800
