aX,aY,aZ,gX,gY,gZ
-0.010,-1.277,0.132,39.001,5.981,83.069
-0.027,-1.214,0.086,13.672,0.549,74.829

0.158,-1.806,0.244,-24.048,-14.709,4.761
-0.029,-1.273,0.069,-40.405,-10.559,-17.761
-0.118,-0.899,0.033,-20.691,1.892,-24.109
-0.127,-0.797,0.083,19.043,6.226,-17.090
-0.147,-0.779,0.127,36.987,5.005,-8.118
-0.130,-0.808,0.119,34.363,2.136,-0.549
-0.105,-0.852,0.113,25.818,-2.075,5.493
-0.073,-0.904,0.104,15.625,-4.700,8.972
-0.045,-0.967,0.108,6.653,-7.202,10.376
-0.037,-1.026,0.098,-0.488,-9.888,9.338
-0.032,-1.072,0.074,-6.226,-10.742,5.859
-0.042,-1.081,0.057,-10.315,-9.583,2.014
-0.033,-1.088,0.045,-10.071,-7.446,-0.610
-0.032,-1.069,0.041,-3.845,-5.676,-1.831
-0.032,-1.040,0.043,5.981,-2.869,-1.587
-0.051,-1.012,0.047,14.343,0.244,0.977
-0.056,-0.995,0.056,18.372,2.014,3.235
-0.058,-0.983,0.059,17.578,2.380,4.272
-0.066,-0.982,0.053,12.878,1.953,4.822
-0.058,-0.996,0.045,7.751,0.183,4.272
-0.053,-1.014,0.036,3.540,-0.916,3.479
-0.050,-1.024,0.030,1.404,-0.061,3.052
-0.050,-1.028,0.037,1.526,0.977,2.808
-0.046,-1.028,0.046,3.357,1.587,2.686
-0.049,-1.023,0.056,5.981,1.709,2.197
-0.057,-1.009,0.067,8.667,2.502,2.075
-0.066,-0.996,0.076,9.644,3.174,2.258
-0.078,-0.988,0.078,8.972,2.930,3.357
-0.075,-0.994,0.066,7.385,1.648,4.517
-0.063,-1.001,0.055,5.676,0.366,5.066
-0.051,-1.017,0.037,3.662,-0.183,5.615
-0.046,-1.025,0.026,1.648,-0.366,5.249
-0.046,-1.020,0.025,1.404,0.916,4.578
-0.052,-1.008,0.031,1.099,2.502,4.395
-0.046,-1.002,0.045,0.305,2.869,4.578
-0.045,-1.001,0.053,-0.854,2.686,4.517
-0.041,-1.003,0.057,-2.441,2.441,4.211
-0.038,-1.008,0.059,-3.784,2.380,3.723
-0.039,-1.005,0.059,-4.272,2.930,3.174
-0.043,-1.003,0.070,-4.272,3.662,3.357
-0.041,-1.007,0.081,-3.906,3.601,3.662
-0.032,-1.009,0.083,-2.563,2.869,3.601
-0.035,-1.007,0.084,-0.732,2.197,3.601
-0.039,-1.005,0.084,1.099,2.136,3.296
-0.041,-1.003,0.078,1.465,1.648,2.808
-0.042,-1.003,0.068,1.770,1.465,2.563
-0.041,-1.006,0.063,2.380,1.831,2.441
-0.043,-1.009,0.067,2.930,2.686,2.502
-0.040,-1.007,0.070,2.930,2.930,2.319
-0.038,-1.007,0.072,2.625,2.808,2.380
-0.037,-1.005,0.073,2.808,2.380,2.502
-0.042,-1.004,0.070,2.625,1.953,2.380
-0.042,-1.005,0.064,2.319,1.404,2.380
-0.046,-1.006,0.058,2.136,1.038,2.258
-0.049,-1.006,0.057,1.526,0.732,1.831
-0.050,-1.005,0.055,1.343,0.610,1.770
-0.047,-1.007,0.055,0.854,1.099,2.075
-0.045,-1.010,0.059,0.122,1.648,2.563
-0.043,-1.010,0.066,0.183,1.709,3.052
-0.039,-1.009,0.073,0.793,1.709,2.991
-0.040,-1.005,0.074,1.526,1.404,2.869
-0.044,-1.002,0.073,2.197,1.282,2.930
-0.047,-1.002,0.070,2.014,1.038,2.808
-0.048,-1.002,0.067,1.709,1.099,2.808
-0.044,-1.010,0.067,1.770,1.160,2.930
-0.039,-1.013,0.068,1.709,1.404,2.686
-0.036,-1.008,0.072,1.709,1.953,2.380
-0.038,-1.005,0.080,1.892,2.747,2.136
-0.040,-1.001,0.081,1.892,2.930,2.014
-0.038,-1.001,0.077,2.319,2.136,2.075
-0.040,-1.006,0.069,2.136,1.770,2.075
-0.037,-1.006,0.064,2.014,2.075,2.075
-0.036,-1.008,0.066,2.441,2.014,1.892
-0.039,-1.007,0.064,2.625,1.831,1.831
-0.038,-1.003,0.059,2.625,1.526,1.587
-0.044,-1.006,0.056,2.625,1.465,1.526
-0.045,-1.006,0.059,2.258,1.709,1.343
-0.045,-1.007,0.062,1.221,2.014,1.282
-0.047,-1.005,0.065,0.671,2.014,1.343
-0.045,-1.007,0.070,0.488,2.197,1.465
-0.043,-1.010,0.077,0.793,2.319,1.587
-0.044,-1.005,0.079,0.977,2.319,1.831
-0.045,-1.003,0.077,0.854,2.258,2.075
-0.043,-1.006,0.078,1.160,2.136,2.075
-0.045,-1.007,0.080,1.648,1.709,1.892
-0.048,-1.002,0.077,2.136,1.282,1.648
-0.047,-1.004,0.072,2.747,0.732,2.075
-0.043,-1.008,0.069,3.296,0.732,2.319
-0.040,-1.008,0.064,3.296,1.282,2.258
-0.042,-1.004,0.062,3.479,1.709,2.014
-0.044,-1.001,0.062,3.540,1.953,1.770
-0.045,-1.005,0.061,3.113,1.892,1.892
-0.045,-1.007,0.062,2.747,2.014,2.014
-0.045,-1.009,0.063,2.441,2.075,2.197
-0.041,-1.010,0.064,2.136,1.465,2.014
-0.041,-1.007,0.065,1.709,1.343,1.587
-0.046,-1.001,0.067,1.282,1.282,1.587
-0.047,-1.002,0.070,0.854,1.404,1.709
-0.046,-1.006,0.074,0.671,1.709,1.953
-0.046,-1.006,0.076,0.854,1.648,2.136
-0.045,-1.005,0.074,1.404,1.465,2.258
-0.046,-1.006,0.071,1.892,1.160,2.136
-0.051,-1.004,0.067,1.831,1.099,2.014
-0.049,-1.007,0.066,1.770,1.404,2.258
-0.045,-1.005,0.068,1.953,1.465,2.197
-0.047,-1.005,0.068,2.441,1.526,2.258
-0.042,-1.006,0.066,2.686,1.404,2.380
-0.038,-1.009,0.072,2.319,1.648,2.258
-0.040,-1.004,0.073,2.136,1.709,2.075
-0.039,-1.004,0.073,2.075,1.221,2.136
-0.039,-1.004,0.073,2.319,1.038,2.136
-0.042,-1.005,0.071,2.625,1.038,2.075
-0.043,-1.005,0.071,3.052,1.221,2.136
-0.045,-1.003,0.073,3.235,1.282,2.075
-0.046,-1.007,0.070,3.235,1.282,2.136
-0.049,-1.009,0.067,3.235,1.282,2.197
-0.047,-1.006,0.066,3.357,1.404,2.258
-0.049,-1.006,0.067,2.930,1.709,2.441
-0.045,-1.005,0.066,2.991,1.709,2.808

-1.090,1.434,-0.422,-30.457,-92.529,-263.977
-1.215,1.471,-0.442,-31.494,-62.073,-220.459
-1.296,1.381,-0.397,-34.363,-31.128,-162.964
-1.260,1.237,-0.316,-38.879,-7.629,-101.929
-1.148,1.037,-0.213,-39.063,5.737,-51.758
-1.027,0.823,-0.139,-33.264,13.916,-17.151
-0.956,0.610,-0.065,-20.691,18.494,4.150
